id,Name,Selected for RAD sequencing,Succesfully RAD sequenced,Whole genome resequenced,Age,Sex,Admit date,Blubber thickness,Admit weight,Death weight,Disposition,primary_class_num,primary_class,malnutrition,trauma,primary_bacterial_infect,secondary_bacterial_infect,congenital,protozoa,otostrongylis,herpes,admit_month,Year,smlh_msat,smlh_snp,smlh_gl,bacterial,malnutrition_bi,bacteria_bi,congenital_bi,worms_bi,protozoa_bi,trauma_bi,admit_month_no,sex_bi
ES2396,Kumquat (restrand),NA,NA,NA,yearling,female,2006-06-12,0.5,41.5,41,euthanasia,1,Malnutrition,1,0,0,0,0,0,0,0,June,2006,0.57278720004137,NA,NA,0,1,0,0,0,0,0,6,1
ES2545,Bissap,NA,NA,NA,pup,male,2006-03-22,NA,35.5,35,euthanasia,1,Malnutrition,1,0,0,0,0,0,0,0,March,2006,0.971693543834761,NA,NA,0,1,0,0,0,0,0,3,0
ES2549,Memphis,NA,NA,NA,pup,female,2006-03-24,0.6,32.5,32,died in treatment,1,Malnutrition,1,0,0,0,0,0,0,0,March,2006,1.40355734109465,NA,NA,0,1,0,0,0,0,0,3,1
ES2556,Cantinslas,1,NA,NA,pup,male,2006-03-29,0.5,32,33,euthanasia,1,Malnutrition,1,0,0,0,0,0,0,0,March,2006,0.916459520066192,NA,0.000126818602945147,0,1,0,0,0,0,0,3,0
ES2558,TomSavage,1,1,NA,pup,male,2006-03-30,5,34.5,33.5,euthanasia,1,Malnutrition,1,0,0,0,0,0,0,1,March,2006,1.18762544246471,1.021265746,0.000103238440459738,0,1,0,0,0,0,0,3,0
ES2559,Justmo,NA,NA,NA,pup,male,2006-03-30,NA,40.5,40.5,euthanasia,1,Malnutrition,1,0,0,0,0,0,0,0,March,2006,1.26013184009101,NA,NA,0,1,0,0,0,0,0,3,0
ES2571,Draco,NA,NA,NA,pup,male,2006-04-09,0.5,38.5,38.5,died in treatment,1,Malnutrition,1,0,0,0,0,0,0,0,April,2006,0.971693543834761,NA,NA,0,1,0,0,0,0,0,4,0
ES2585,Rubius,NA,NA,NA,pup,male,2006-04-17,NA,29.2,32,euthanasia,1,Malnutrition,1,0,0,0,0,0,0,0,April,2006,0.893012507138565,NA,NA,0,1,0,0,0,0,0,4,0
ES2629,Minestrone,1,1,NA,pup,female,2007-03-10,NA,29,26.5,euthanasia,1,Malnutrition,1,0,0,0,0,0,0,0,March,2007,1.51152329040963,1.088689348,9.06443327201642e-05,0,1,0,0,0,0,0,3,1
ES2651,NA,1,1,NA,yearling,male,2007-03-23,1.7,68,68,dead on arrival,1,Malnutrition,1,0,0,0,0,0,0,0,March,2007,1.07965949314973,1.209321186,9.4176968389152e-05,0,1,0,0,0,0,0,3,0
ES2656,Juustoa,NA,NA,NA,pup,male,2007-03-27,0.5,34,37,died in treatment,1,Malnutrition,1,0,0,0,0,0,0,0,March,2007,1.07965949314973,NA,NA,0,1,0,0,0,0,0,3,0
ES2664,Bootstrap Bill,NA,NA,NA,pup,female,2007-04-02,1.2,30.5,35,died in treatment,1,Malnutrition,1,0,0,0,0,0,0,0,April,2007,1.36791037016016,NA,NA,0,1,0,0,0,0,0,4,1
