Animal_ID	Age	Sex	Primary_classification_N	Class	Malnutrition	Trauma	Primary_bacterial_infection	Secondary_bacterial_infection	Congenital_defect	Protozoa	Otostrongylis	Herpes	Primary_classification	sMLH
ES2396	Yearling	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition	0.57278720004137
ES2545	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition	0.971693543834761
ES2549	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition	1.40355734109465
ES2556	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition	0.916459520066192
ES2558	pup	Male	1	Control	1	0	0	0	0	0	0	1	Malnutrition	1.18762544246471
ES2559	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition	1.26013184009101
ES2571	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition	0.971693543834761
ES2585	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition	0.893012507138565
ES2629	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition	1.51152329040963
ES2651	Yearling	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition	1.07965949314973
ES2656	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition	1.07965949314973
ES2664	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition	1.36791037016016
ES2667	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition	0.683066438556055
ES2701	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition	0.971693543834761
ES2713	Pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition	0.755761645204814
ES2735	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition	0.647795695889841
ES2737	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition	NA
ES2738	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition	0.755761645204814
ES2756	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition	1.18762544246471
ES2757	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition	1.29559139177968
