Animal_ID	Age	Sex	Primary_classification_N	Class	Malnutrition	Trauma	Primary_bacterial_infection	Secondary_bacterial_infection	Congenital_defect	Protozoa	Otostrongylis	Herpes	Primary_classification
ES-2396	Yearling	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-2545	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-2549	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-2556	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-2558	pup	Male	1	Control	1	0	0	0	0	0	0	1	Malnutrition
ES-2559	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-2571	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-2585	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-2629	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-2651	Yearling	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-2656	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-2664	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-2667	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-2701	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-2713	Pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-2735	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-2737	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-2738	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-2756	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-2757	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-2766	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-2771	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-2783	pup	Female	1	Control	1	0	0	1	0	0	0	0	Malnutrition
ES-2806	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-2813	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-2839	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-2841	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-2853	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-2855	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-2856	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-2865	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-2875	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-2879	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-2887	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-2896	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-2902	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-2934	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-2942	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-2976	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-2978	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-2980	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-2985	pup	Male	1	Control	1	1	0	0	0	0	0	0	Malnutrition
ES-2986	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-2991	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition
