Group	ID	smlh
Control	ES3207	0.926167478721228
Control	ES2829	0.928166332503739
Control	ES3155	0.919651334764087
Control	ES2868	0.983682955449759
Case	ES2692	1.08929880494237
Case	ES2805	0.940176036291385
Control	ES2629	1.09082817341046
Case	ES3356	0.9835814633646
Control	ES3148	0.947803938843169
Control	ES2985	0.966990412025357
Case	ES2697	0.954665509034603
Case	ES3342	0.927926669279607
Control	ES3256	0.996097776787764
Control	ES3289	0.938319134469218
Control	ES2695	0.937999479246014
Control	ES3347	1.07521249736649
Control	ES2956	0.959042403827106
Control	ES2816	1.03778461995164
Control	ES2667	1.0185300679687
Case	ES3307	1.02425625075327
Case	ES3335	0.950506895616419
Case	ES2906	0.98947184138591
Case	ES2913	0.950142488046713
Control	ES2741	1.0500047254918
Control	ES3157	0.965823196753216
Control	ES2551	0.957978674222204
Control	ES2774	0.972188218063366
Control	ES2599	1.03525280094822
Control	ES2855	1.01642141373114
Control	ES2690	0.998452029984701
Control	ES2887	0.978863001598172
Control	ES3223	1.04984129195958
Case	ES2895	1.05033390963151
Control	ES3019	0.940679542497045
Control	ES3230	1.00474166540541
Control	ES2554	1.00035432331878
Case	ES3287	0.92238368490333
Case	ES2589	0.946134236889546
Case	ES2955	1.17859982252317
Control	ES3150	0.987841849826825
Control	ES3154	0.997115755713233
Case	ES2948	1.03412307059869
Control	ES2735	0.936764320110358
Case	ES3314	0.88127101852346
Case	ES2845	1.0755347137458
Case	ES2952	0.986081914487247
Control	ES3159	0.990099696369602
Control	ES2865	0.972832165595935
Case	ES2954	0.935322711842678
Case	ES2698	1.05064325837138
Control	ES3060	0.918308850066234
Case	ES3358	1.22283773577422
Control	ES2857	0.999340361943137
Control	ES2763	1.07145294888152
Control	ES2782	1.24781873264433
Case	ES2910	1.09120923188211
Control	ES3252	0.968898589581927
Control	ES3011	1.04912683248658
Control	ES2771	0.908388948458992
Case	ES2915	0.944649293721016
Control	ES3283	0.997669006253178
Control	ES3351	0.928073103356507
Control	ES2713	1.13897476464372
Case	ES2946	1.00624883268731
Case	ES3368	0.981146384702814
Control	ES2787	0.978307152511444
Control	ES3354	1.03653656610254
Control	ES2936	0.911811053687333
Control	ES2756	0.943020718778392
Case	ES2930	0.955018192113359
Control	ES2558	1.02338759405274
Control	ES2557	0.975130189446975
